iter	Passed	Remaining
0	1	110
1	2	100
2	2	96
3	3	90
4	4	89
5	5	88
6	6	86
7	7	84
8	8	86
9	9	85
10	10	84
11	11	83
12	12	81
13	13	80
14	14	79
15	14	78
16	15	77
17	16	76
18	17	76
19	19	77
20	20	77
21	21	76
22	22	75
23	23	75
24	24	74
25	25	73
26	27	73
27	28	72
28	29	71
29	30	70
30	31	69
31	32	68
32	33	68
33	34	67
34	35	66
35	36	65
36	37	64
37	38	63
38	39	62
39	40	61
40	41	59
41	41	57
42	42	56
43	43	55
44	44	54
45	45	53
46	46	52
47	47	51
48	48	50
49	49	49
50	50	48
51	51	47
52	52	46
53	53	45
54	53	44
55	54	43
56	55	42
57	56	41
58	57	40
59	58	39
60	59	38
61	60	37
62	61	36
63	62	35
64	63	34
65	64	33
66	65	32
67	66	31
68	66	30
69	67	29
70	68	28
71	69	27
72	70	26
73	71	25
74	72	24
75	73	23
76	74	22
77	75	21
78	76	20
79	77	19
80	78	18
81	79	17
82	79	16
83	80	15
84	81	14
85	82	13
86	83	12
87	84	11
88	85	10
89	86	9
90	87	8
91	88	7
92	89	6
93	90	5
94	91	4
95	92	3
96	93	2
97	94	1
98	95	0
99	96	0
